tipo;subtipo;codigo_prestacion;nombre_prestacion;importe;cantidad;iva
SERVICIOS;ADMISION  ;	80161602-03;ENTREGA DE RESULTADO DE LABORATORIOS;174;500;16.00%
SERVICIOS;ADMISION  ;	80161602-04;ENTREGA DE RESULTADOS DE PATOLOGIA;174;500;16.00%
SERVICIOS;ADMISION  ;	80161602-02;LLENADO DE CONSENTIMIENTOS QUIRURJICOS;174;500;16.00%
SERVICIOS;ADMISION  ;	80161602-05;RECORDATORIO DE CITAS;174;500;16.00%
SERVICIOS;ADMISION  ;	80161602-01;REGISTRO DE PACIENTE ;174;500;16.00%
SERVICIOS;CONSULTA GENERAL;	85121601-03;CONSULTA PROGRAMADA;290;500;16.00%
SERVICIOS;CONSULTA GENERAL;	85121601-04;CONSULTA URGENTE;406;500;16.00%
SERVICIOS;CONSULTA GENERAL;	85121601-02;HONORARIOS QUIRURJICOS SEGUNDO AYUDANTE;1740;500;16.00%
SERVICIOS;CONSULTA GENERAL;	85121601-01;HONORARIOS QUIRURJICOS/AYUDANTIA;2320;500;16.00%
SERVICIOS;GINECOLOGIA;85121601-10;CULTIVO;500;500;16.00%
SERVICIOS;GINECOLOGIA;	85121601-05;HONORARIOS QUIRURJICOS GINECOLOGICO;4640;500;16.00%
SERVICIOS;GINECOLOGIA;	85121601-08;INTERCONSULTA PROGRAMADA;1740;500;16.00%
SERVICIOS;GINECOLOGIA;	85121601-09;INTERCONSULTA URGENTE;2320;500;16.00%
SERVICIOS;GINECOLOGIA;	85121601-06;VPO(VALUACION PREOPERATORIA) PROGRAMADA;1160;500;16.00%
SERVICIOS;GINECOLOGIA;	85121601-07;VPO(VALUACION PREOPERATORIA) URGENTE;1740;500;16.00%
SERVICIOS;CIRUGIA GENERAL;	85121600_03;HONORARIOS QUIRURJICOS CIRUGIA GENERAL;4640;500;16.00%
SERVICIOS;CIRUGIA GENERAL;	85121600_01;INTERCONSULTA;1740;500;16.00%
SERVICIOS;CIRUGIA GENERAL;	85121600_02;INTERCONSULTA;2320;500;16.00%
SERVICIOS;MEDICINA INTERNA;	85121600_06;MANEJO HOSPITALARIO;2320;500;16.00%
SERVICIOS;MEDICINA INTERNA;85121600_07;MANEJO HOSPITALARIO;4640;500;16.00%
SERVICIOS;MEDICINA INTERNA;85121600_04;VPO (EVALUCION PREOPERATORIA);1740;500;16.00%
SERVICIOS;MEDICINA INTERNA;	85121600_05;VPO (EVALUCION PREOPERATORIA) URGENTE;2900;500;16.00%
SERVICIOS;TRAUMATOLOGIA;	85121600_10;HONORARIOS QUIRURJICOS TRAUMATOLOGIA;0;500;16.00%
SERVICIOS;TRAUMATOLOGIA;	85121600_08;INTERCONSULTA PROGRAMADA;1740;500;16.00%
SERVICIOS;TRAUMATOLOGIA;	85121600_09;INTERCONSULTA URGENTE;2320;500;16.00%
SERVICIOS;OTORRINO;	85121600_13;HONORARIOS QUIRURJICOS OTORRINO;0;500;16.00%
SERVICIOS;OTORRINO;	85121600_11;INTERCONSULTA PROGRAMADA;1740;500;16.00%
SERVICIOS;OTORRINO;	85121600_12;INTERCONSULTA URGENTE;2320;500;16.00%
SERVICIOS;NEFROLOGIA;	85121600_18;HONORARIOS QUIRURJICOS DE NEFROLOGIA;0;500;16.00%
SERVICIOS;NEFROLOGIA;	85121600_16;MANEJO HOSPITALARIO;2320;500;16.00%
SERVICIOS;NEFROLOGIA;	85121600_17;MANEJO HOSPITALARIO;4640;500;16.00%
SERVICIOS;NEFROLOGIA;	85121600_14;VPO (EVALUCION PREOPERATORIA);1740;500;16.00%
SERVICIOS;NEFROLOGIA;	85121600_15;VPO (EVALUCION PREOPERATORIA) URGENTE;2900;500;16.00%
SERVICIOS;RX;	85121808_03;A DOMICILIO;1624;500;16.00%
SERVICIOS;RX;	85121808_01;ESTUDIOS PREOPERATORIO;232;500;16.00%
SERVICIOS;RX;	85121808_05;FISIOTERAPIA;464;500;16.00%
SERVICIOS;RX;	85121808_04;INTERPRETACION ;116;500;16.00%
SERVICIOS;RX;	85121808_06;PAQUETE DE 10 SESIONES;4872;500;16.00%
SERVICIOS;RX;	85121808_02;RAYOS X (CUALQUIER ZONA) POR TOMA;371.2;500;16.00%
SERVICIOS;RX;	85121808_10;RESONANCIA MAGNETICA CONSTRASTADA;5568;500;16.00%
SERVICIOS;RX;	85121808_09;RESONANCIA MAGNETICA SIMPLE ;5220;500;16.00%
SERVICIOS;RX;	85121808_08;TOMOGRAFIA CONSTRASTADA;4408;500;16.00%
SERVICIOS;RX;	85121808_07;TOMOGRAFIAS SIMPLE;4060;500;16.00%
SERVICIOS;RX URGENTES;	85121808_13;A DOMICILIO;3248;500;16.00%
SERVICIOS;RX URGENTES;	85121808_11;ESTUDIOS PREOPERATORIO;928;500;16.00%
SERVICIOS;RX URGENTES;	85121808_15;FISIOTERAPIA;464;500;16.00%
SERVICIOS;RX URGENTES;	85121808_14;INTERPRETACION ;348;500;16.00%
SERVICIOS;RX URGENTES;	85121808_16;PAQUETE DE 10 SESIONES;4915.05;500;16.00%
SERVICIOS;RX URGENTES;	85121808_12;RAYOS X (CUALQUIER ZONA) POR TOMA;928;500;16.00%
